store_name,content
봄의정원 회기점,인테리어도 너무 이쁘규 맛있었습니다 ㅎㅎ
봄의정원 회기점,떡볶이는 생각보다 아쉬웠지만 머쉬룸 파스타는 완벽했습니다! 재방문한다면 다른 파스타도 먹어보고 싶어요.
봄의정원 회기점,플레이팅은 예쁘나 맛은 별로 떡볶이는 불닭 소스로 볶아낸 맛
봄의정원 회기점,버섯 크림 파스타는 버섯향을 좋아하시는 분들이 좋아할 것 같아요분위기 좋고 친절하네요
봄의정원 회기점,샐러드파스타 양도 많고 맛있어요
봄의정원 회기점,네이버 예약하고 방문하면 와인콜키지 1병 무료👍 이렇게 예쁘게 담아주셔서 친구들이랑 사진찍기 좋았어요.
봄의정원 회기점,ㅎㅎ 2주연속 Sop모임^^지난주에 안먹어본 메뉴를 선택하려했으나 넘 맛있어서 두가지는 다시한번 시켰네용ㅎㅎ오늘의 메뉴 선택도 아주 탁월!!!!^^맛있게 잘 먹고 집에 걸어서 왔어용♡
봄의정원 회기점,분위기도 너무 좋고 생일 케이크도 할 수 있어서 너무 좋았어요ㅎㅎ 음식도 너무 예쁘게 나오고 맛도 있어서 좋은 거 같아요
봄의정원 회기점,너무 친절한 나머지 단골이 되었습니다.
봄의정원 회기점,"중고생 아이들과 경희대 공연 보러 와서 추천이 많아서 예약 후 들려보았습니다. 시그니처 구름머랭이 있는 떡볶이는 보는 재미, 식감재미, 맛도 좋았어요. 로제 파스타도 치즈 듬뿍! 너무 맛있었습니다. 친절하셔서 기분 좋게 식사했어요. 경희대 앞에 가시면 꼭 들려보세요! 저녁에 와인도 마시러 함 오고싶네요 ~ ♡"
봄의정원 회기점,성가대 Sop 모임으로 가서 다양한 음식을 먹고왔어요 ㅎㅎ아쉬운건 주차불가라는거...ㅜ다음에 가면 샐러드 종류를 먹어보렵니당 ㅎㅎ
봄의정원 회기점,친절하세요^^
봄의정원 회기점,우리동네에 이런곳이 있다니.. 간단한 모임하기 참 좋은장소네요~ 뭔가 대학가만의 낭만이 느껴졌답니다.  주차는 경희의료원 제2주차장 이용하면 될듯여 시간당3천원인가 했고 도보3~4분 거리입니다.
봄의정원 회기점,분위기도 좋고 직원이 친절해요~맛은 대부분 짜네요..조금만 덜짜면 맛이 좋을 것 같아요..물 많이 마셨어요..
봄의정원 회기점,늘 예약하고 방문하는 곳입니다 ☺️ 시그니처메뉴인 떡볶이는 늘 맛있습니다! 옥수수퓨레 포크 스테이크도 너무 맛있었어요
